O51226.45,H51239.60,L51190.15,C51230.15
O51228.15,H51276.60,L51204.25,C51228.60
O51232.05,H51246.55,L51013.60,C51063.05
O51062.40,H51337.15,L51047.40,C51266.10
O51263.70,H51314.05,L51145.90,C51163.60
O51161.75,H51198.90,L51124.05,C51163.00
O51160.05,H51247.25,L51155.35,C51245.15
O51246.50,H51280.20,L51225.90,C51245.85
O51242.20,H51279.20,L51214.55,C51214.55
O51206.05,H51248.80,L51177.70,C51217.55
O51218.90,H51247.65,L51082.15,C51119.20
O51121.10,H51130.15,L51095.60,C51100.75
O51103.25,H51182.90,L51100.90,C51173.05
O51174.05,H51199.20,L51154.95,C51183.35
O51181.80,H51205.00,L51116.95,C51120.60
O51030.95,H51255.15,L51001.85,C51192.45
O51202.25,H51247.00,L51162.75,C51187.35
O51186.25,H51289.10,L51181.30,C51190.95
O51209.35,H51352.75,L51168.05,C51173.70
O51178.45,H51233.35,L51139.20,C51161.70
O51162.55,H51247.75,L51155.30,C51185.45
O51191.45,H51226.10,L51018.55,C51053.10
O51049.00,H51244.15,L51035.40,C51168.30
O51171.60,H51216.00,L51137.25,C51212.75
O51208.75,H51215.25,L50974.80,C50974.80
O50980.90,H51021.55,L50867.00,C50950.00
O50948.90,H50970.30,L50880.40,C50895.60
O50895.50,H50974.50,L50868.50,C50958.30
O50955.20,H50959.95,L50840.30,C50897.55
O50898.15,H50981.80,L50898.10,C50958.80
O50959.40,H50989.15,L50916.70,C50960.65
O50957.75,H51047.90,L50883.50,C50884.30
O50880.25,H50884.45,L50752.45,C50760.75
O50762.70,H50880.75,L50748.50,C50850.90
O50852.50,H51020.85,L50846.40,C50911.70
O50912.25,H50914.60,L50782.30,C50794.00
O50788.90,H50833.35,L50733.75,C50801.90
O50800.00,H50808.00,L50752.30,C50768.05
O50766.95,H50787.70,L50700.85,C50707.00
O50705.05,H50746.40,L50620.85,C50624.10
O50629.00,H50704.40,L50628.30,C50685.80
O50692.55,H50714.35,L50669.30,C50700.75
O50705.00,H50738.70,L50659.95,C50710.20
O50705.15,H50742.05,L50696.55,C50719.45
O50719.85,H50737.70,L50644.55,C50651.60
O50653.90,H50721.95,L50649.00,C50718.50
O50718.00,H50734.15,L50677.35,C50677.90
O50676.85,H50724.40,L50676.85,C50689.85
